model,provider,company,params,quantization,file_bytes,prompt_name,prompt_type,precision,recall,f05,tp,fp,fn,sentences,failure_count,prompt_tokens,completion_tokens,total_tokens,exact_match,perfect,unchanged,started,file
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,extended,user,0.27197265625,0.34899749373433586,0.2845320800980793,557,1491,1039,1418,0,803952,23282,827234,128,128,51,2026-09-14T08:00:21Z,20260914-095809/mistralai_ministral-3-3b/p1.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,long,user,0.26109435588108576,0.3706422018348624,0.2774979393717374,606,1715,1029,1418,0,904630,21920,926550,75,75,23,2026-09-14T08:02:24Z,20260914-095809/mistralai_ministral-3-3b/p2.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,korean,user,0.21019108280254778,0.27429667519181583,0.22049753289473686,429,1612,1135,1418,0,845077,24388,869465,64,64,28,2026-09-14T08:04:42Z,20260914-095809/mistralai_ministral-3-3b/p3.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,simple,user,0.2547209399916072,0.3667673716012085,0.27129704120854564,607,1776,1048,1418,0,794026,26769,820795,51,51,3,2026-09-14T08:07:15Z,20260914-095809/mistralai_ministral-3-3b/p4.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,extended,system+user,0.27718960538979787,0.355775169857937,0.2900010069479408,576,1502,1043,1418,0,53085,21935,75020,122,122,44,2026-09-14T08:10:19Z,20260914-095809/mistralai_ministral-3-3b/p5.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,long,system+user,0.25838509316770186,0.37681159420289856,0.2757158006362672,624,1791,1032,1418,0,149509,22677,172186,50,50,9,2026-09-14T08:12:27Z,20260914-095809/mistralai_ministral-3-3b/p6.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,korean,system+user,0.2448,0.29124365482233505,0.25286469810489204,459,1416,1117,1418,0,84281,21888,106169,150,150,88,2026-09-14T08:14:41Z,20260914-095809/mistralai_ministral-3-3b/p7.json
mistralai/ministral-3-3b,Local,Mistral AI,3B,Q8_0,4491998767,simple,system+user,0.26095947063689,0.38034960819770947,0.27843967875739123,631,1787,1028,1418,0,43159,22420,65579,47,47,3,2026-09-14T08:17:58Z,20260914-095809/mistralai_ministral-3-3b/p8.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,extended,user,0.624663435648896,0.6803519061583577,0.6350596737107194,1160,697,545,1418,0,44620,19649,64269,704,703,370,2026-09-14T10:30:28Z,20260914-110322/google_gemini-3.5-flash-lite/p1.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,long,user,0.6111392405063291,0.6972848064702484,0.6266223652787872,1207,768,524,1418,0,155223,19566,174789,697,696,351,2026-09-14T10:32:42Z,20260914-110322/google_gemini-3.5-flash-lite/p2.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,korean,user,0.6278280542986425,0.6626865671641791,0.6345032582599749,1110,658,565,1418,0,89995,19564,109559,725,724,378,2026-09-14T10:34:59Z,20260914-110322/google_gemini-3.5-flash-lite/p3.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,simple,user,0.5330105633802817,0.6849547511312217,0.5577560795873251,1211,1061,557,1418,0,36111,19515,55626,530,529,213,2026-09-14T10:37:40Z,20260914-110322/google_gemini-3.5-flash-lite/p4.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,extended,system+user,0.6377212389380531,0.6834617664493183,0.6463729117614082,1153,655,534,1418,0,44905,19301,64206,742,741,416,2026-09-14T10:40:28Z,20260914-110322/google_gemini-3.5-flash-lite/p5.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,long,system+user,0.6038961038961039,0.6968299711815562,0.6204454480139587,1209,793,526,1418,0,151253,19502,170755,686,685,347,2026-09-14T10:42:41Z,20260914-110322/google_gemini-3.5-flash-lite/p6.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,korean,system+user,0.6487721302113079,0.672189349112426,0.6533241315850012,1136,615,554,1418,0,77517,19341,96858,753,752,423,2026-09-14T10:44:58Z,20260914-110322/google_gemini-3.5-flash-lite/p7.json
google/gemini-3.5-flash-lite,OpenRouter,Google,,,,simple,system+user,0.5584594222833562,0.696,0.5814397555852587,1218,963,532,1418,0,36395,19760,56155,595,594,256,2026-09-14T10:47:34Z,20260914-110322/google_gemini-3.5-flash-lite/p8.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,extended,user,0.6494845360824743,0.7245543415756182,0.6632277081798085,1260,680,479,1418,0,55005,261344,316349,762,761,414,2026-09-14T09:16:44Z,20260914-110322/openai_gpt-5.6-luna/p1.json
